"3369","HAPPY NOW","KYGO feat. SANDRO CAVAZZA","2019-01-01 18:32:55"
"3370","ONE","U2 feat. MARY J. BLIGE","2019-01-01 18:36:30"
"3371","PROMISES","CALVIN HARRIS feat. SAM SMITH","2019-01-01 18:40:18"
"3372","LIFTED","LIGHTHOUSE FAMILY","2019-01-01 18:44:52"
"3373","FINAL SONG","MØ","2019-01-01 18:47:44"
"3374","DEAR MR. PRESIDENT","P!NK feat. INDIGO GIRLS","2019-01-01 18:52:02"
"3375","ROSEMARY","NICKLESS","2019-01-01 18:57:06"
"3376","ANGEL","SHAGGY feat. RAYVON","2019-01-01 19:00:07"
"3377","I'LL BE THERE","JESS GLYNNE","2019-01-01 19:03:41"
"3378","MONDAY MORNING","MELANIE FIONA","2019-01-01 19:06:18"
"3379","LA CINTURA","ÀLVARO SOLER","2019-01-01 19:10:13"
"3380","HEART ON FIRE","YOKKO","2019-01-01 19:13:23"
"3381","NAKED","JAMES ARTHUR","2019-01-01 19:16:36"
"3382","SOMETHING HUMAN","MUSE","2019-01-01 19:20:43"
"3383","DAS BESTE","SILBERMOND","2019-01-01 19:25:01"
"3384","EASTSIDE","BENNY BLANCO feat. KHALID & HALSEY","2019-01-01 19:28:50"
"3385","CAN'T FIGHT THE MOONLIGHT","LEANN RIMES","2019-01-01 19:31:07"
"3386","LET YOU LOVE ME","RITA ORA","2019-01-01 19:35:44"
"3387","SHE DRIVES ME CRAZY","FINE YOUNG CANNIBALS","2019-01-01 19:39:52"
"3388","I LIKE ME BETTER","LAUV","2019-01-01 19:42:24"
"3389","DANCE WITH SOMEBODY","MANDO DIAO","2019-01-01 19:44:25"
"3390","HURT SOMEBODY","NOAH KAHAN & JULIA MICHAELS","2019-01-01 19:47:59"
"3391","SOMEONE NEW","ESKOBAR feat. HEATHER NOVA","2019-01-01 19:53:17"
"3392","YOUNGBLOOD","5 SECONDS OF SUMMER","2019-01-01 19:54:18"
"3393","SWEET HOME ALABAMA","LYNYRD SKYNYRD","2019-01-01 19:57:51"
"3394","ARE YOU WITH ME (Radio Edit)","LOST FREQUENCIES","2019-01-01 20:02:56"
"3395","WHAT LOVERS DO","MAROON 5 feat. SZA","2019-01-01 20:05:13"
"3396","SHE SAID","PLAN B","2019-01-01 20:10:23"
"3397","IM ERSCHTE TRAM","LO & LEDUC","2019-01-01 20:13:40"
"3398","BECAUSE OF YOU","KELLY CLARKSON","2019-01-01 20:17:02"
"3399","BE ALRIGHT","DEAN LEWIS","2019-01-01 20:21:04"
"3400","TEARS IN HEAVEN","ERIC CLAPTON","2019-01-01 20:25:28"
"3401","ON MY MIND","DISCIPLES","2019-01-01 20:28:45"
"3402","SOMEBODY THAT I USED TO KNOW","GOTYE feat. KIMBRA","2019-01-01 20:32:29"
"3403","STAY","BASTIAN BAKER","2019-01-01 20:36:01"
"3404","NO MATTER WHAT","BOYZONE","2019-01-01 20:39:49"
"3405","BODY","LOUD LUXURY feat. BRANDO","2019-01-01 20:45:10"
